Warning: NaN result encountered.
         Current function value: nan
         Iterations: 0
         Function evaluations: 1
         Gradient evaluations: 1
         11354023 function calls (11182927 primitive calls) in 24.862 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:161(_VerbosityFlag)
      749    0.000    0.000    0.000    0.000 __init__.py:1619(isEnabledFor)
     1500    0.000    0.000    0.000    0.000 __init__.py:1622(<lambda>)
      368    0.002    0.000    0.005    0.000 __init__.py:163(connect)
        1    0.000    0.000    0.020    0.020 __init__.py:164(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:164(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
     1440    0.002    0.000    0.012    0.000 __init__.py:1657(safe_first_element)
        1    0.000    0.000    0.000    0.000 __init__.py:1667(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:167(base_constants_version)
        1    0.000    0.000    0.000    0.000 __init__.py:1673(__init__)
     4320    0.066    0.000    0.084    0.000 __init__.py:1679(normalize_kwargs)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1684(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:17(_get_running_interactive_framework)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:174(value)
        2    0.000    0.000    0.000    0.000 __init__.py:175(validate)
     4320    0.001    0.000    0.001    0.000 __init__.py:1766(<listcomp>)
     4320    0.001    0.000    0.001    0.000 __init__.py:1771(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:179(_update_logging_levels)
        1    0.000    0.000    0.014    0.014 __init__.py:18(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:18(Node)
        2    0.000    0.000    0.000    0.000 __init__.py:180(_remove_proxy)
        1    0.000    0.000    0.000    0.000 __init__.py:1805(Locked)
        1    0.000    0.000    0.000    0.000 __init__.py:181(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:1820(TimeoutError)
        1    0.000    0.000    0.000    0.000 __init__.py:183(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1832(basicConfig)
        1    0.000    0.000    0.005    0.005 __init__.py:184(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:185(c_uint)
        1    0.000    0.000    0.006    0.006 __init__.py:186(_check_versions)
       39    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
        3    0.000    0.000    0.454    0.151 __init__.py:19(<module>)
     2160    0.001    0.000    0.002    0.000 __init__.py:1912(_str_equal)
        1    0.000    0.000    0.116    0.116 __init__.py:192(<module>)
     1440    0.001    0.000    0.002    0.000 __init__.py:1922(_str_lower_equal)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
       33    0.000    0.000    0.001    0.000 __init__.py:1930(getLogger)
        8    0.000    0.000    0.001    0.000 __init__.py:1932(_define_aliases)
        1    0.000    0.000    0.000    0.000 __init__.py:195(_sanity_check)
       72    0.000    0.000    0.001    0.000 __init__.py:1952(make_alias)
      480    0.001    0.000    0.002    0.000 __init__.py:1953(method)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        6    0.000    0.000    0.236    0.039 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:20(__deprecated_private_func)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
    21250    0.033    0.000    0.063    0.000 __init__.py:2018(_setattr_cm)
    10625    0.008    0.000    0.010    0.000 __init__.py:2023(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:203(_LoggerLevelsFlag)
       15    0.000    0.000    0.001    0.000 __init__.py:2036(_warn_external)
     1924    0.003    0.000    0.004    0.000 __init__.py:205(process)
        1    0.000    0.000    0.000    0.000 __init__.py:2058(_OrderedSet)
        1    0.000    0.000    0.000    0.000 __init__.py:2059(NullHandler)
       60    0.000    0.000    0.000    0.000 __init__.py:2059(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:206(__init__)
       60    0.000    0.000    0.000    0.000 __init__.py:21(get_projection_class)
       48    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:214(physical_constants)
        1    0.000    0.000    0.000    0.000 __init__.py:215(<listcomp>)
    33120    0.024    0.000    0.032    0.000 __init__.py:2157(_check_in_list)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
        1    0.000    0.000    0.040    0.040 __init__.py:219(<module>)
       37    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
        2    0.000    0.000    0.022    0.011 __init__.py:22(Conf)
