         314237720 function calls (309171621 primitive calls) in 2552.880 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
11644397/9940132 1876.145    0.000 1927.347    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
254119/254110    0.303    0.000    0.877    0.000 contextlib.py:107(__enter__)
   243047    0.302    0.000    0.626    0.000 partial_eval.py:65(unknown)
     1004    0.293    0.000    0.293    0.000 {method 'read' of '_io.FileIO' objects}
  1584381    0.293    0.000    0.293    0.000 xla.py:72(identity)
    65168    0.290    0.000    0.437    0.000 xla.py:244(<listcomp>)
    65168    0.290    0.000    0.857    0.000 xla.py:239(_partition_outputs)
    65095    0.288    0.000    0.557    0.000 linear_util.py:140(populate_stores)
   140582    0.288    0.000    1.537    0.000 xla.py:178(_make_abstract_python_scalar)
   483923    0.286    0.000    0.437    0.000 linear_util.py:97(val)
    65100    0.286    0.000    0.388    0.000 lax.py:3528(_is_singleton_reshape)
      158    0.284    0.002    0.798    0.005 util.py:154(check_toposort)
  2643106    0.283    0.000    0.283    0.000 {built-in method builtins.id}
   205227    0.278    0.000    0.390    0.000 partial_eval.py:145(<listcomp>)
    65105    0.269    0.000    0.969    0.000 lax_numpy.py:1651(broadcast_arrays)
   149500    0.268    0.000   11.684    0.000 <__array_function__ internals>:2(delete)
   270964    0.267    0.000   10.177    0.000 lax_numpy.py:360(result_type)
    74245    0.258    0.000   13.889    0.000 ad_util.py:33(add_jaxvals)
   140585    0.256    0.000    0.669    0.000 xla.py:159(_canonicalize_python_scalar_dtype)
   346064    0.254    0.000    0.254    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
   167401    0.253    0.000    0.852    0.000 typing.py:710(__subclasscheck__)
   177484    0.252    0.000    0.355    0.000 ad.py:182(read_cotangent)
   469971    0.251    0.000    0.421    0.000 dtypes.py:140(_issubclass)
   112321    0.250    0.000    2.192    0.000 lax_numpy.py:4444(_is_advanced_int_indexer)
    93739    0.249    0.000    1.980    0.000 abstract_arrays.py:70(_make_concrete_python_scalar)
   130925    0.242    0.000    0.963    0.000 lax_numpy.py:354(isscalar)
    18290    0.240    0.000    5.054    0.000 lax.py:763(slice)
   271165    0.240    0.000    3.642    0.000 core.py:204(<lambda>)
   120914    0.240    0.000    0.569    0.000 core.py:770(maybe_new_sublevel)
   261386    0.238    0.000    2.663    0.000 lax_numpy.py:350(issubdtype)
   167401    0.238    0.000    1.090    0.000 typing.py:707(__instancecheck__)
   140553    0.236    0.000    2.067    0.000 lax_numpy.py:242(<listcomp>)
   233439    0.232    0.000    0.546    0.000 partial_eval.py:61(known)
   149958    0.232    0.000    0.861    0.000 <__array_function__ internals>:2(copyto)
      985    0.230    0.000    0.230    0.000 {built-in method marshal.loads}
   150004    0.228    0.000    0.582    0.000 <__array_function__ internals>:2(can_cast)
   271165    0.226    0.000    3.354    0.000 core.py:165(__init__)
    93775    0.225    0.000    1.920    0.000 core.py:1069(at_least_vspace)
    84475    0.224    0.000    3.468    0.000 ad_util.py:74(from_value)
   738511    0.221    0.000    0.221    0.000 {method 'items' of 'dict' objects}
   186881    0.220    0.000    0.220    0.000 dtypes.py:279(is_python_scalar)
348066/348056    0.219    0.000    0.219    0.000 {method 'update' of 'dict' objects}
   279000    0.216    0.000    4.712    0.000 xla.py:829(<genexpr>)
        2    0.214    0.107    1.477    0.738 core.py:1132(read)
   158720    0.214    0.000   14.103    0.000 ad.py:475(add_tangents)
    38401    0.211    0.000    0.211    0.000 fixedwidth.py:39(<listcomp>)
   700097    0.205    0.000    0.205    0.000 {method 'issubset' of 'set' objects}
    65683    0.204    0.000    0.204    0.000 {method 'item' of 'numpy.generic' objects}
    65100    0.203    0.000    0.817    0.000 xla.py:832(<listcomp>)
    65100    0.203    0.000    6.119    0.000 lax_numpy.py:4262(<listcomp>)
   111963    0.201    0.000    0.238    0.000 lax_numpy.py:141(__hash__)
168584/168041    0.201    0.000    0.201    0.000 {built-in method _abc._abc_subclasscheck}
   401034    0.200    0.000    0.200    0.000 linear_util.py:125(__init__)
    65272    0.197    0.000    0.402    0.000 linear_util.py:217(wrap_init)
   167427    0.196    0.000    0.234    0.000 lax.py:4077(_no_duplicate_dims)
     9145    0.194    0.000    5.989    0.001 lax.py:3339(_concatenate_transpose_rule)
    65100    0.193    0.000   20.100    0.000 core.py:597(process_call)
    38401    0.193    0.000    0.454    0.000 fixedwidth.py:41(<listcomp>)
   130200    0.192    0.000   50.314    0.000 lax_numpy.py:4219(<genexpr>)
   261959    0.192    0.000    0.192    0.000 ad.py:390(__init__)
    93157    0.192    0.000    3.365    0.000 partial_eval.py:620(getconstvar)
   234662    0.190    0.000    0.975    0.000 lax_numpy.py:4448(<genexpr>)
   224291    0.190    0.000    0.190    0.000 util.py:193(prod)
    11545    0.188    0.000    0.188    0.000 {function Quantity.__array_ufunc__ at 0x1158a0e18}
   130767    0.187    0.000    0.211    0.000 util.py:248(canonicalize_axis)
   205382    0.183    0.000    0.261    0.000 partial_eval.py:458(full_lower)
   177324    0.181    0.000    3.144    0.000 partial_eval.py:587(<listcomp>)
    46656    0.180    0.000    7.196    0.000 lax.py:1196(_reduce_sum)
      361    0.178    0.000    0.185    0.001 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   130200    0.178    0.000    2.817    0.000 lax_numpy.py:4217(<genexpr>)
   149424    0.173    0.000    0.495    0.000 partial_eval.py:149(<listcomp>)
   206434    0.173    0.000    1.197    0.000 tree_util.py:51(tree_flatten)
    55802    0.172    0.000   17.360    0.000 lax.py:1723(full_like)
   353296    0.172    0.000    0.230    0.000 core.py:993(<lambda>)
    46862    0.170    0.000    0.554    0.000 lax.py:3455(squeeze)
    65380    0.169    0.000   16.968    0.000 lax.py:347(sub)
    46862    0.169    0.000    1.097    0.000 lax_numpy.py:1356(squeeze)
    55807    0.167    0.000    0.674    0.000 lax.py:4053(_gather_dtype_rule)
   242141    0.165    0.000    0.402    0.000 linear_util.py:208(<lambda>)
    55779    0.164    0.000    0.164    0.000 {built-in method numpy.arange}
   383483    0.164    0.000    0.164    0.000 ad_util.py:70(__init__)
   725987    0.163    0.000    0.163    0.000 {method 'pop' of 'list' objects}
     8028    0.159    0.000    0.395    0.000 function_base.py:37(linspace)
   758384    0.152    0.000    0.261    0.000 core.py:362(process_val)
   205220    0.152    0.000    1.444    0.000 partial_eval.py:91(pure)
   483923    0.151    0.000    0.151    0.000 linear_util.py:103(__nonzero__)
    66063    0.151    0.000    2.605    0.000 <__array_function__ internals>:2(diff)
    94087    0.148    0.000    1.061    0.000 core.py:1099(primal_dtype_to_tangent_dtype)
   475560    0.146    0.000    0.146    0.000 partial_eval.py:146(<genexpr>)
   374025    0.146    0.000    0.146    0.000 ad.py:280(<genexpr>)
   763701    0.144    0.000    0.144    0.000 partial_eval.py:69(is_known)
    27909    0.144    0.000    0.245    0.000 xla.py:855(_xla_call_partial_eval_update_params)
   121748    0.142    0.000    0.244    0.000 {built-in method builtins.sum}
   112321    0.142    0.000    1.225    0.000 lax_numpy.py:4390(_eliminate_deprecated_list_indexing)
   140582    0.141    0.000    3.144    0.000 lax_numpy.py:307(_check_no_float0s)
    65100    0.140    0.000    0.190    0.000 weakref.py:484(setdefault)
   334858    0.138    0.000    0.176    0.000 lax.py:4058(<lambda>)
   597548    0.137    0.000    0.170    0.000 util.py:157(<genexpr>)
   375383    0.133    0.000    0.139    0.000 {built-in method builtins.iter}
   337148    0.132    0.000    0.171    0.000 lax.py:2002(<genexpr>)
    74556    0.132    0.000   13.361    0.000 ad.py:439(linear_transpose)
   112321    0.132    0.000    0.132    0.000 lax_numpy.py:4233(<listcomp>)
   140553    0.131    0.000    0.157    0.000 lax_numpy.py:243(<listcomp>)
   422473    0.130    0.000    0.130    0.000 fromnumeric.py:2273(_all_dispatcher)
        1    0.130    0.130    0.130    0.130 {built-in method scipy.ndimage._nd_image.correlate1d}
     5353    0.128    0.000    0.128    0.000 core.py:796(<genexpr>)
   177504    0.128    0.000    0.250    0.000 core.py:153(new_jaxpr_eqn)
    55956    0.127    0.000    0.623    0.000 lax.py:6147(_const)
   111618    0.127    0.000    0.138    0.000 lax.py:4060(_is_sorted)
   177323    0.123    0.000    0.123    0.000 ad.py:252(get_primitive_transpose)
    65100    0.122    0.000    0.677    0.000 lax_numpy.py:4453(_is_int_arraylike)
   177324    0.122    0.000    0.399    0.000 partial_eval.py:586(<listcomp>)
     9145    0.121    0.000    0.245    0.000 shape_base.py:1155(tile)
        1    0.120    0.120    0.120    0.120 {method 'connect' of '_socket.socket' objects}
   326286    0.119    0.000    0.119    0.000 ad.py:240(__init__)
    84497    0.118    0.000    1.475    0.000 {built-in method _functools.reduce}
168584/168041    0.118    0.000    0.318    0.000 abc.py:141(__subclasscheck__)
   301834    0.117    0.000    0.117    0.000 {method 'pop' of 'dict' objects}
    19269    0.115    0.000   14.883    0.001 lax_numpy.py:387(fn)
     5660    0.115    0.000    0.115    0.000 {built-in method posix.stat}
   111964    0.114    0.000    0.192    0.000 xla.py:1124(size)
      436    0.114    0.000    0.114    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      156    0.113    0.001  442.402    2.836 partial_eval.py:469(trace_to_jaxpr)
   766194    0.110    0.000    0.110    0.000 {method 'strip' of 'str' objects}
   512993    0.109    0.000    0.109    0.000 core.py:479(_assert_live)
        1    0.108    0.108    0.111    0.111 {built-in method _socket.getaddrinfo}
     9300    0.107    0.000    0.167    0.000 api_util.py:77(argnums_partial_except)
   167400    0.106    0.000    0.136    0.000 partial_eval.py:213(<genexpr>)
    65222    0.106    0.000    1.828    0.000 <__array_function__ internals>:2(moveaxis)
    27900    0.105    0.000    0.213    0.000 xla.py:876(_xla_call_transpose_update_params)
     9209    0.104    0.000    0.234    0.000 lax.py:3303(_concatenate_shape_rule)
     9145    0.103    0.000    5.172    0.001 lax.py:3352(<listcomp>)
   130200    0.102    0.000    0.796    0.000 lax_numpy.py:4450(<genexpr>)
    11545    0.101    0.000    0.642    0.000 quantity.py:434(__array_ufunc__)
    55645    0.101    0.000    9.315    0.000 ad_util.py:41(add_impl)
